event_id,schema_version,run_id,source_id,source_root,absolute_path,relative_path,filename,extension,path_type,status,detection_reason,mime_type,bytes,sha256,created_at,modified_at,width,height,image_mode,has_alpha,exif_datetime,pdf_pages,pdf_title,pdf_author,pdf_subject,pdf_text_chars,archive_member_count,duplicate_group,classification_branch,error
evt_000051,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-038.jpg,assets/card-038.jpg,card-038.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,399,bcca49589027993b0881c4958d914dacdf7a11cf601641dd41c07586f484e4b5,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,52,52,L,False,,,,,,,,bcca49589027993b,image_metadata,
evt_000052,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-039.png,assets/card-039.png,card-039.png,.png,file,observed,recursive_discovery,image/png,141,03c162dd13133f1f43548eb0a2d78606aa0bb3fff44bc6e822d42da6469d9d30,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,52,52,RGB,False,,,,,,,,03c162dd13133f1f,image_metadata,
evt_000053,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-040.jpg,assets/card-040.jpg,card-040.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,399,bcca49589027993b0881c4958d914dacdf7a11cf601641dd41c07586f484e4b5,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,52,52,L,False,,,,,,,,bcca49589027993b,image_metadata,
evt_000054,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-041.jpg,assets/card-041.jpg,card-041.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,398,0a397992baffac373108f2dbb274426ece204f58c725ee827a45437eadb8e403,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,52,51,L,False,,,,,,,,0a397992baffac37,image_metadata,
evt_000055,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-042.png,assets/card-042.png,card-042.png,.png,file,observed,recursive_discovery,image/png,140,d848cbca1b4c24589862fe0fd5c30e5f854ef101387f8451f25c1f8b48934a07,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,52,51,RGB,False,,,,,,,,d848cbca1b4c2458,image_metadata,
evt_000056,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-043.jpg,assets/card-043.jpg,card-043.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,398,0a397992baffac373108f2dbb274426ece204f58c725ee827a45437eadb8e403,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,52,51,L,False,,,,,,,,0a397992baffac37,image_metadata,
evt_000057,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-044.jpg,assets/card-044.jpg,card-044.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,449,0734f7e02c2ef588e62d5a5924b7f7228fc0f4d6a0c7ee8b8a9cbaf2ccf3564f,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,64,54,L,False,,,,,,,,0734f7e02c2ef588,image_metadata,
evt_000058,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-045.png,assets/card-045.png,card-045.png,.png,file,observed,recursive_discovery,image/png,149,b1ecf480f26c1ee2116ca5a6d801cf4c9e2c41fce04a3d782f9c9b54ce01ad0d,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,64,54,RGB,False,,,,,,,,,image_metadata,
evt_000059,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-046.jpg,assets/card-046.jpg,card-046.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,449,0734f7e02c2ef588e62d5a5924b7f7228fc0f4d6a0c7ee8b8a9cbaf2ccf3564f,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,64,54,L,False,,,,,,,,0734f7e02c2ef588,image_metadata,
evt_000060,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-047.jpg,assets/card-047.jpg,card-047.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,457,c63671f186332f5168769bf33bf4e7214db3ac7f5b6823acd7b0b5e439adf083,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,58,57,L,False,,,,,,,,c63671f186332f51,image_metadata,
